,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
85,1935,9,128.7,2310.3,638.4,3.6,26.4,0.0,104.0,61.3,181.1,939.2,7.1,26.4,5.2,,457.3,1371.1,7.4,3.0,104.0,0.0,238.9,,,,,,,
86,1934,11,117.3,2189.5,549.7,4.0,18.7,0.0,,45.9,146.0,647.0,5.1,18.7,4.4,,403.7,1542.5,9.2,3.8,,0.0,0.0,,,,,,,
87,1933,10,110.5,2267.0,574.9,3.9,24.9,0.0,,57.6,163.1,887.8,5.7,24.9,5.4,,411.8,1379.2,6.9,3.3,,0.0,0.0,,,,,,,
88,1932,8,98.5,1981.1,535.3,3.7,12.3,0.0,,46.5,130.5,662.5,5.3,12.3,5.1,,404.8,1318.6,6.9,3.3,,0.0,0.0,,,,,,,
89,1931,10,116.4,,,,,0.0,,0.0,0.0,0.0,5.7,0.0,,,0.0,0.0,9.7,,,0.0,0.0,,,,,,,
90,1930,11,140.5,,,,,0.0,,0.0,0.0,0.0,7.0,0.0,,,0.0,0.0,12.0,,,0.0,0.0,,,,,,,
91,1929,12,112.0,,,,,0.0,,0.0,0.0,0.0,6.6,0.0,,,0.0,0.0,8.2,,,0.0,0.0,,,,,,,
92,1928,10,106.6,,,,,0.0,,0.0,0.0,0.0,6.6,0.0,,,0.0,0.0,7.8,,,0.0,0.0,,,,,,,
93,1927,12,108.9,,,,,0.0,,0.0,0.0,0.0,4.6,0.0,,,0.0,0.0,8.9,,,0.0,0.0,,,,,,,
94,1926,22,80.1,,,,,0.0,,0.0,0.0,0.0,2.8,0.0,,,0.0,0.0,6.0,,,0.0,0.0,,,,,,,
95,1925,20,92.1,,,,,0.0,,0.0,0.0,0.0,4.3,0.0,,,0.0,0.0,6.0,,,0.0,0.0,,,,,,,
96,1924,18,92.0,,,,,0.0,,0.0,0.0,0.0,3.6,0.0,,,0.0,0.0,6.3,,,0.0,0.0,,,,,,,
97,1923,20,69.7,,,,,0.0,,0.0,0.0,0.0,2.3,0.0,,,0.0,0.0,4.7,,,0.0,0.0,,,,,,,
98,1922,18,75.1,,,,,0.0,,0.0,0.0,0.0,1.7,0.0,,,0.0,0.0,6.8,,,0.0,0.0,,,,,,,
